show,episode,date,time,link,teaser,moderator,topicsCount,toParse,respondent_first_name,respondent_last_name,respondent_function
Hlavní zprávy - rozhovory a komentáře,Obce a kapacity školek. Národní konvent o vzdělávání. Kauza Mamut,2023-06-23,12:10,https://plus.rozhlas.cz/poledni-publicistika-obce-a-kapacity-skolek-narodni-konvent-o-vzdelavani-kauza-9020229,"Jak složité bude pro obce zajistit místo ve školkách pro všechny tříleté děti, což navrhuje v novele ministerstvo práce? Jaké problémy školství dnes řeší Národní konvent odborníků a politiků? A v čem spočíval zjevný podvod s mobilními telefony za 5 miliard korun?","Štechrová,Věra",3,"Hosty Věry Štechrové jsou:Oldřich Vávra, 1. místopředseda Sdružení místních samospráv;Jiří Růžička, senátor /STAN/;Jana Klímová, hlavní ekonomická analytička ČRo.",Oldřich,Vávra,1 místopředseda Sdružení místních samospráv
Hlavní zprávy - rozhovory a komentáře,Obce a kapacity školek. Národní konvent o vzdělávání. Kauza Mamut,2023-06-23,12:10,https://plus.rozhlas.cz/poledni-publicistika-obce-a-kapacity-skolek-narodni-konvent-o-vzdelavani-kauza-9020229,"Jak složité bude pro obce zajistit místo ve školkách pro všechny tříleté děti, což navrhuje v novele ministerstvo práce? Jaké problémy školství dnes řeší Národní konvent odborníků a politiků? A v čem spočíval zjevný podvod s mobilními telefony za 5 miliard korun?","Štechrová,Věra",3,"Hosty Věry Štechrové jsou:Oldřich Vávra, 1. místopředseda Sdružení místních samospráv;Jiří Růžička, senátor /STAN/;Jana Klímová, hlavní ekonomická analytička ČRo.",Jiří,Růžička,senátor /STAN/
Hlavní zprávy - rozhovory a komentáře,Obce a kapacity školek. Národní konvent o vzdělávání. Kauza Mamut,2023-06-23,12:10,https://plus.rozhlas.cz/poledni-publicistika-obce-a-kapacity-skolek-narodni-konvent-o-vzdelavani-kauza-9020229,"Jak složité bude pro obce zajistit místo ve školkách pro všechny tříleté děti, což navrhuje v novele ministerstvo práce? Jaké problémy školství dnes řeší Národní konvent odborníků a politiků? A v čem spočíval zjevný podvod s mobilními telefony za 5 miliard korun?","Štechrová,Věra",3,"Hosty Věry Štechrové jsou:Oldřich Vávra, 1. místopředseda Sdružení místních samospráv;Jiří Růžička, senátor /STAN/;Jana Klímová, hlavní ekonomická analytička ČRo.",Jana,Klímová,hlavní ekonomická analytička ČRo
Hlavní zprávy - rozhovory a komentáře,Firemní strategie Volkswagenu. Revize vztahů Česka s Ruskem. Česká filharmonie,2023-06-21,18:10,https://plus.rozhlas.cz/odpoledni-publicistika-firemni-strategie-volkswagenu-revize-vztahu-ceska-s-9019299,"Co by mohlo vyplývat z nové firemní strategie koncernu Volkswagen pro automobilku Škoda? Jak je nastavena revize vztahů Česka vůči Rusku, kterou dnes schválila vláda? A jaký dárek pod širým nebem připravila pro své publikum Česká filharmonie na závěr letošní koncertní sezony?","Kroc,Vladimír",3,"Hosty Vladimíra Kroce jsou:Václav Jabůrek, zpravodaj Českého rozhlasu v Německu;Ondřej Ditrych, seniorní výzkumný pracovník Ústavu mezinárodních vztahů;David Mareček, ředitel České filharmonie.",Václav,Jabůrek,zpravodaj Českého rozhlasu v Německu
Hlavní zprávy - rozhovory a komentáře,Firemní strategie Volkswagenu. Revize vztahů Česka s Ruskem. Česká filharmonie,2023-06-21,18:10,https://plus.rozhlas.cz/odpoledni-publicistika-firemni-strategie-volkswagenu-revize-vztahu-ceska-s-9019299,"Co by mohlo vyplývat z nové firemní strategie koncernu Volkswagen pro automobilku Škoda? Jak je nastavena revize vztahů Česka vůči Rusku, kterou dnes schválila vláda? A jaký dárek pod širým nebem připravila pro své publikum Česká filharmonie na závěr letošní koncertní sezony?","Kroc,Vladimír",3,"Hosty Vladimíra Kroce jsou:Václav Jabůrek, zpravodaj Českého rozhlasu v Německu;Ondřej Ditrych, seniorní výzkumný pracovník Ústavu mezinárodních vztahů;David Mareček, ředitel České filharmonie.",Ondřej,Ditrych,seniorní výzkumný pracovník Ústavu mezinárodních vztahů
Hlavní zprávy - rozhovory a komentáře,Firemní strategie Volkswagenu. Revize vztahů Česka s Ruskem. Česká filharmonie,2023-06-21,18:10,https://plus.rozhlas.cz/odpoledni-publicistika-firemni-strategie-volkswagenu-revize-vztahu-ceska-s-9019299,"Co by mohlo vyplývat z nové firemní strategie koncernu Volkswagen pro automobilku Škoda? Jak je nastavena revize vztahů Česka vůči Rusku, kterou dnes schválila vláda? A jaký dárek pod širým nebem připravila pro své publikum Česká filharmonie na závěr letošní koncertní sezony?","Kroc,Vladimír",3,"Hosty Vladimíra Kroce jsou:Václav Jabůrek, zpravodaj Českého rozhlasu v Německu;Ondřej Ditrych, seniorní výzkumný pracovník Ústavu mezinárodních vztahů;David Mareček, ředitel České filharmonie.",David,Mareček,ředitel České filharmonie
Hlavní zprávy - rozhovory a komentáře,Čeští zbrojaři. Daň z nafty. Pátrání po ponorce,2023-06-21,12:10,https://plus.rozhlas.cz/poledni-publicistika-cesti-zbrojari-dan-z-nafty-patrani-po-ponorce-9018834,"Jak se na bilanci tuzemských zbrojařů odráží ruská agrese na Ukrajině?  Jaké dopady by mohl mít návrat vyšší spotřební daně z nafty? Podaří zachránit posádku ponorky, která mířila k vraku Titaniku, ale s níž se už několik dnů nedaří navázat spojení?","Kroc,Vladimír",3,"Hosté polední publicistiky:Jiří Hynek, ředitel Asociace obranného a bezpečnostního průmysluVít Hradil, hlavní ekonom společnosti CyrrusPavel Gross., potápěč, konstruktér ponorek",Jiří,Hynek,ředitel Asociace obranného a bezpečnostního průmyslu
Hlavní zprávy - rozhovory a komentáře,Čeští zbrojaři. Daň z nafty. Pátrání po ponorce,2023-06-21,12:10,https://plus.rozhlas.cz/poledni-publicistika-cesti-zbrojari-dan-z-nafty-patrani-po-ponorce-9018834,"Jak se na bilanci tuzemských zbrojařů odráží ruská agrese na Ukrajině?  Jaké dopady by mohl mít návrat vyšší spotřební daně z nafty? Podaří zachránit posádku ponorky, která mířila k vraku Titaniku, ale s níž se už několik dnů nedaří navázat spojení?","Kroc,Vladimír",3,"Hosté polední publicistiky:Jiří Hynek, ředitel Asociace obranného a bezpečnostního průmysluVít Hradil, hlavní ekonom společnosti CyrrusPavel Gross., potápěč, konstruktér ponorek",Vít,Hradil,hlavní ekonom společnosti Cyrrus
Hlavní zprávy - rozhovory a komentáře,Čeští zbrojaři. Daň z nafty. Pátrání po ponorce,2023-06-21,12:10,https://plus.rozhlas.cz/poledni-publicistika-cesti-zbrojari-dan-z-nafty-patrani-po-ponorce-9018834,"Jak se na bilanci tuzemských zbrojařů odráží ruská agrese na Ukrajině?  Jaké dopady by mohl mít návrat vyšší spotřební daně z nafty? Podaří zachránit posádku ponorky, která mířila k vraku Titaniku, ale s níž se už několik dnů nedaří navázat spojení?","Kroc,Vladimír",3,"Hosté polední publicistiky:Jiří Hynek, ředitel Asociace obranného a bezpečnostního průmysluVít Hradil, hlavní ekonom společnosti CyrrusPavel Gross., potápěč, konstruktér ponorek",Pavel,Gross,", potápěč, konstruktér ponorek"
Hlavní zprávy - rozhovory a komentáře,Konec éry Čaputové. Důsledky fotovoltaiky. Odchod europoslankyně z ANO,2023-06-20,18:10,https://plus.rozhlas.cz/odpoledni-publicistika-konec-ery-caputove-dusledky-fotovoltaiky-odchod-9018357,Slovenská prezidentka Zuzana Čaputová se rozhodla znovu nekandidovat. Znamená to posílení populismu na Slovensku? Jak často se musí kvůli stoupající poptávce po fotovoltaice nahrazovat kabely elektrického vedení za silnější? Europoslankyně Dita Charanzová se rozchází s hnutím ANO. Proč právě teď? Poslechněte si odpolední publicistiku s Věrou Štechrovou.,"Štechrová,Věra",3,"Hosty Věry Štechrové byli:Michal Vašečka, sociolog a programový ředitel Bratislava Policy Institute;Štěpán Chalupa, předseda Komory obnovitelných zdrojů energie;Filip Nerad, vedoucí zahraniční redakce Českého rozhlasu.",Michal,Vašečka,sociolog a programový ředitel Bratislava Policy Institute
Hlavní zprávy - rozhovory a komentáře,Konec éry Čaputové. Důsledky fotovoltaiky. Odchod europoslankyně z ANO,2023-06-20,18:10,https://plus.rozhlas.cz/odpoledni-publicistika-konec-ery-caputove-dusledky-fotovoltaiky-odchod-9018357,Slovenská prezidentka Zuzana Čaputová se rozhodla znovu nekandidovat. Znamená to posílení populismu na Slovensku? Jak často se musí kvůli stoupající poptávce po fotovoltaice nahrazovat kabely elektrického vedení za silnější? Europoslankyně Dita Charanzová se rozchází s hnutím ANO. Proč právě teď? Poslechněte si odpolední publicistiku s Věrou Štechrovou.,"Štechrová,Věra",3,"Hosty Věry Štechrové byli:Michal Vašečka, sociolog a programový ředitel Bratislava Policy Institute;Štěpán Chalupa, předseda Komory obnovitelných zdrojů energie;Filip Nerad, vedoucí zahraniční redakce Českého rozhlasu.",Štěpán,Chalupa,předseda Komory obnovitelných zdrojů energie
Hlavní zprávy - rozhovory a komentáře,Konec éry Čaputové. Důsledky fotovoltaiky. Odchod europoslankyně z ANO,2023-06-20,18:10,https://plus.rozhlas.cz/odpoledni-publicistika-konec-ery-caputove-dusledky-fotovoltaiky-odchod-9018357,Slovenská prezidentka Zuzana Čaputová se rozhodla znovu nekandidovat. Znamená to posílení populismu na Slovensku? Jak často se musí kvůli stoupající poptávce po fotovoltaice nahrazovat kabely elektrického vedení za silnější? Europoslankyně Dita Charanzová se rozchází s hnutím ANO. Proč právě teď? Poslechněte si odpolední publicistiku s Věrou Štechrovou.,"Štechrová,Věra",3,"Hosty Věry Štechrové byli:Michal Vašečka, sociolog a programový ředitel Bratislava Policy Institute;Štěpán Chalupa, předseda Komory obnovitelných zdrojů energie;Filip Nerad, vedoucí zahraniční redakce Českého rozhlasu.",Filip,Nerad,vedoucí zahraniční redakce Českého rozhlasu
Hlavní zprávy - rozhovory a komentáře,Piráti kritizují Blažka. Vývoj klimatu. Nemocniční kaplani,2023-06-20,12:10,https://plus.rozhlas.cz/poledni-publicistika-pirati-kritizuji-blazka-vyvoj-klimatu-nemocnicni-kaplani-9018099,"Co plyne z usnesení členů Pirátské strany, podle kterého ministr spravedlnosti Pavel Blažek z ODS ohrožuje důvěru ve spravedlnost a právní stát? Evropa je nejrychleji se oteplujícím kontinentem světa, bude průměrná teplota růst i dál? A jak pacientům i jejich blízkým pomáhají nemocniční kaplani?","Štechrová,Věra",3,"Hosté polední publicistiky:Pavel Staněk, poslanec ODSMiroslav Trnka, vědecký pracovník Ústavu výzkumu globální změny AV ČRPavel Ruml, předseda Asociace nemocničních kaplanů",Pavel,Staněk,poslanec ODS
Hlavní zprávy - rozhovory a komentáře,Piráti kritizují Blažka. Vývoj klimatu. Nemocniční kaplani,2023-06-20,12:10,https://plus.rozhlas.cz/poledni-publicistika-pirati-kritizuji-blazka-vyvoj-klimatu-nemocnicni-kaplani-9018099,"Co plyne z usnesení členů Pirátské strany, podle kterého ministr spravedlnosti Pavel Blažek z ODS ohrožuje důvěru ve spravedlnost a právní stát? Evropa je nejrychleji se oteplujícím kontinentem světa, bude průměrná teplota růst i dál? A jak pacientům i jejich blízkým pomáhají nemocniční kaplani?","Štechrová,Věra",3,"Hosté polední publicistiky:Pavel Staněk, poslanec ODSMiroslav Trnka, vědecký pracovník Ústavu výzkumu globální změny AV ČRPavel Ruml, předseda Asociace nemocničních kaplanů",Miroslav,Trnka,vědecký pracovník Ústavu výzkumu globální změny AV ČR
Hlavní zprávy - rozhovory a komentáře,Piráti kritizují Blažka. Vývoj klimatu. Nemocniční kaplani,2023-06-20,12:10,https://plus.rozhlas.cz/poledni-publicistika-pirati-kritizuji-blazka-vyvoj-klimatu-nemocnicni-kaplani-9018099,"Co plyne z usnesení členů Pirátské strany, podle kterého ministr spravedlnosti Pavel Blažek z ODS ohrožuje důvěru ve spravedlnost a právní stát? Evropa je nejrychleji se oteplujícím kontinentem světa, bude průměrná teplota růst i dál? A jak pacientům i jejich blízkým pomáhají nemocniční kaplani?","Štechrová,Věra",3,"Hosté polední publicistiky:Pavel Staněk, poslanec ODSMiroslav Trnka, vědecký pracovník Ústavu výzkumu globální změny AV ČRPavel Ruml, předseda Asociace nemocničních kaplanů",Pavel,Ruml,předseda Asociace nemocničních kaplanů
Hlavní zprávy - rozhovory a komentáře,Lékaři v Kroměříži stáhli výpovědi. Západní firmy v Rusku. Změna názvu Koněvovy ulice,2023-06-19,18:10,https://plus.rozhlas.cz/odpoledni-publicistika-lekari-v-kromerizi-stahli-vypovedi-zapadni-firmy-v-rusku-9017598,"Lékaři psychiatrické nemocnice v Kroměříži vzali zpět své výpovědi. Co všechno se v nemocnici teď změní? Jak účinný je bojkot západních firem, které stále podnikají v Rusku? A proč došlo na dlouho diskutovanou změnu názvu Koněvovy ulice v Praze 3?","Štechrová,Věra",3,"Hosty Věry Štechrové byli:Simona Papežová, předsedkyně psychiatrické společnosti České lékařské společnosti Jana Evangelisty Purkyně;Karel Svoboda, politolog z Institutu mezinárodních studií Fakulty sociálních věd Univerzity Karlovy;Michal Vronský, starosta Prahy 3 (TOP 09).",Simona,Papežová,předsedkyně psychiatrické společnosti České lékařské společnosti Jana Evangelisty Purkyně
Hlavní zprávy - rozhovory a komentáře,Lékaři v Kroměříži stáhli výpovědi. Západní firmy v Rusku. Změna názvu Koněvovy ulice,2023-06-19,18:10,https://plus.rozhlas.cz/odpoledni-publicistika-lekari-v-kromerizi-stahli-vypovedi-zapadni-firmy-v-rusku-9017598,"Lékaři psychiatrické nemocnice v Kroměříži vzali zpět své výpovědi. Co všechno se v nemocnici teď změní? Jak účinný je bojkot západních firem, které stále podnikají v Rusku? A proč došlo na dlouho diskutovanou změnu názvu Koněvovy ulice v Praze 3?","Štechrová,Věra",3,"Hosty Věry Štechrové byli:Simona Papežová, předsedkyně psychiatrické společnosti České lékařské společnosti Jana Evangelisty Purkyně;Karel Svoboda, politolog z Institutu mezinárodních studií Fakulty sociálních věd Univerzity Karlovy;Michal Vronský, starosta Prahy 3 (TOP 09).",Karel,Svoboda,politolog z Institutu mezinárodních studií Fakulty sociálních věd Univerzity Karlovy
Hlavní zprávy - rozhovory a komentáře,Lékaři v Kroměříži stáhli výpovědi. Západní firmy v Rusku. Změna názvu Koněvovy ulice,2023-06-19,18:10,https://plus.rozhlas.cz/odpoledni-publicistika-lekari-v-kromerizi-stahli-vypovedi-zapadni-firmy-v-rusku-9017598,"Lékaři psychiatrické nemocnice v Kroměříži vzali zpět své výpovědi. Co všechno se v nemocnici teď změní? Jak účinný je bojkot západních firem, které stále podnikají v Rusku? A proč došlo na dlouho diskutovanou změnu názvu Koněvovy ulice v Praze 3?","Štechrová,Věra",3,"Hosty Věry Štechrové byli:Simona Papežová, předsedkyně psychiatrické společnosti České lékařské společnosti Jana Evangelisty Purkyně;Karel Svoboda, politolog z Institutu mezinárodních studií Fakulty sociálních věd Univerzity Karlovy;Michal Vronský, starosta Prahy 3 (TOP 09).",Michal,Vronský,starosta Prahy 3 (TOP 09)
Hlavní zprávy - rozhovory a komentáře,ČEZ a dividendy. Odbory a balíček. Čína a Západ,2023-06-19,12:10,https://plus.rozhlas.cz/poledni-publicistika-cez-a-dividendy-odbory-a-balicek-cina-a-zapad-9017247,"Budou se orgány dohledu nad kapitálovým trhem zabývat páteční transakcí na burze, kdy majitele najednou změnilo víc než 240 tisíc akcií ČEZu? Jakou sílu mají odbory při jednání o vládním úsporném balíčku? Otevírají USA a Čína novou kapitolu vzájemných vztahů?","Štechrová,Věra",3,"Hosté polední publicistiky:Jana Klímová, hlavní ekonom analytička ČRoPetr Hartman, komentátor ČRoOlga Lomová, profesorka sinologie z Katedry sinologie FF UK",Jana,Klímová,hlavní ekonom analytička ČRo
Hlavní zprávy - rozhovory a komentáře,ČEZ a dividendy. Odbory a balíček. Čína a Západ,2023-06-19,12:10,https://plus.rozhlas.cz/poledni-publicistika-cez-a-dividendy-odbory-a-balicek-cina-a-zapad-9017247,"Budou se orgány dohledu nad kapitálovým trhem zabývat páteční transakcí na burze, kdy majitele najednou změnilo víc než 240 tisíc akcií ČEZu? Jakou sílu mají odbory při jednání o vládním úsporném balíčku? Otevírají USA a Čína novou kapitolu vzájemných vztahů?","Štechrová,Věra",3,"Hosté polední publicistiky:Jana Klímová, hlavní ekonom analytička ČRoPetr Hartman, komentátor ČRoOlga Lomová, profesorka sinologie z Katedry sinologie FF UK",Petr,Hartman,komentátor ČRo
Hlavní zprávy - rozhovory a komentáře,ČEZ a dividendy. Odbory a balíček. Čína a Západ,2023-06-19,12:10,https://plus.rozhlas.cz/poledni-publicistika-cez-a-dividendy-odbory-a-balicek-cina-a-zapad-9017247,"Budou se orgány dohledu nad kapitálovým trhem zabývat páteční transakcí na burze, kdy majitele najednou změnilo víc než 240 tisíc akcií ČEZu? Jakou sílu mají odbory při jednání o vládním úsporném balíčku? Otevírají USA a Čína novou kapitolu vzájemných vztahů?","Štechrová,Věra",3,"Hosté polední publicistiky:Jana Klímová, hlavní ekonom analytička ČRoPetr Hartman, komentátor ČRoOlga Lomová, profesorka sinologie z Katedry sinologie FF UK",Olga,Lomová,profesorka sinologie z Katedry sinologie FF UK
Interview Plus,"Maláčová: Důchodci, zaměstnanci a jejich rodiny táhnou rozpočet. Je nespravedlivé po nich chtít víc",2023-06-23,11:34,https://plus.rozhlas.cz/malacova-duchodci-zamestnanci-a-jejich-rodiny-tahnou-rozpocet-je-nespravedlive-9019836,"Odboráři nesouhlasí se záměry zrušit daňové zvýhodnění zaměstnaneckých benefitů, obnovit nemocenské pojištění zaměstnanců a zvýšit jejich daňové zatížení. „Pokud jsem ochoten diskutovat, musím brát vážně kritiku protistrany. Uvidíme, zda si vláda vezme k srdci připomínky odborářů, kteří zastupují pracující v této zemi,“ říká bývalá ministryně práce a sociálních věcí Jana Maláčová, která dnes působí jako poradkyně ČMKOS.","Bumba,Jan",1,"Poslechněte si celé Interview Plus Jana Bumby. Hostem je Jana Maláčová, bývalá ministryně práce a sociálních věcí, která nyní působí jako poradkyně v Českomoravské komoře odborových svazů",Maláčová,Jana, která nyní působí jako poradkyně v Českomoravské komoře odborových svazů
